Date,AAPL,GOOGL,MSFT
2021-01-04,125.85671997070312,85.59902954101562,208.40650939941406
2021-01-05,127.41272735595703,86.28932189941406,208.60755920410156
2021-01-06,123.12384796142578,85.43785095214844,203.19851684570312
2021-01-07,127.32522583007812,87.9897689819336,208.98095703125
2021-01-08,128.42420959472656,89.1546401977539,210.25421142578125
2021-01-11,125.43849182128906,87.09466552734375,208.215087890625
2021-01-12,125.26344299316406,86.15938568115234,205.7642059326172
2021-01-13,127.29608917236328,86.64637756347656,207.1140594482422
2021-01-14,125.37044525146484,85.8365707397461,203.9356689453125
2021-01-15,123.64904022216797,85.67290496826172,203.58145141601562
2021-01-19,124.320068359375,88.49211883544922,207.20985412597656
2021-01-20,128.40476989746094,93.23294067382812,214.77301025390625
2021-01-21,133.1118621826172,93.43524169921875,215.37611389160156
2021-01-22,135.25144958496094,93.85231018066406,216.31431579589844
2021-01-25,138.99574279785156,93.9375991821289,219.74160766601562
2021-01-26,139.22915649414062,94.6155014038086,222.4221954345703
2021-01-27,138.15936279296875,90.20149230957031,222.9678955078125
2021-01-28,133.32582092285156,91.90044403076172,228.7407684326172
2021-01-29,128.33670043945312,90.61902618408203,222.06800842285156
2021-02-01,130.45681762695312,93.87760925292969,229.43003845214844
2021-02-02,131.2834930419922,95.16942596435547,229.29600524902344
2021-02-03,130.26229858398438,102.10014343261719,232.63719177246094
2021-02-04,133.6175537109375,101.83979797363281,231.6894073486328
2021-02-05,133.20362854003906,103.58536529541016,231.87132263183594
2021-02-08,133.34974670410156,103.37163543701172,232.12977600097656
2021-02-09,132.47314453125,102.91888427734375,233.37432861328125
2021-02-10,131.86924743652344,103.46883392333984,232.46487426757812
2021-02-11,131.61602783203125,103.5813980102539,234.06362915039062
2021-02-12,131.8497772216797,103.89282989501953,234.5423126220703
2021-02-16,129.7264862060547,104.66991424560547,233.30731201171875
2021-02-17,127.43756103515625,105.06266021728516,234.32444763183594
2021-02-18,126.33699798583984,104.42740631103516,233.93101501464844
2021-02-19,126.49279022216797,103.5843734741211,231.22506713867188
2021-02-22,122.72343444824219,101.87104797363281,225.02633666992188
2021-02-23,122.58708190917969,102.16163635253906,223.83644104003906
2021-02-24,122.09033966064453,103.33641815185547,225.064697265625
2021-02-25,117.8437271118164,99.97123718261719,219.72955322265625
2021-02-26,118.1067123413086,100.26679992675781,222.98248291015625
2021-03-01,124.46690368652344,102.63472747802734,227.3580780029297
2021-03-02,121.86634063720703,102.37784576416016,224.41220092773438
2021-03-03,118.88589477539062,99.74609375,218.35736083984375
2021-03-04,117.0060806274414,100.86286926269531,217.56092834472656
2021-03-05,118.2625503540039,103.99398803710938,222.2340087890625
2021-03-08,113.33411407470703,99.55219268798828,218.19424438476562
2021-03-09,117.94111633300781,101.18173217773438,224.3258819580078
2021-03-10,116.86000061035156,100.97494506835938,223.0208282470703
2021-03-11,118.78849029541016,104.16607666015625,227.54034423828125
2021-03-12,117.88268280029297,101.6597900390625,226.21615600585938
2021-03-15,120.76570129394531,101.87996673583984,225.3141632080078
2021-03-16,122.30463409423828,103.34040069580078,228.09690856933594
2021-03-17,121.51570892333984,103.2575912475586,227.4540252685547
2021-03-18,117.39568328857422,100.23854064941406,221.38961791992188
2021-03-19,116.86973571777344,100.5172348022461,221.03456115722656
2021-03-22,120.18132019042969,100.70220184326172,226.44644165039062
2021-03-23,119.35342407226562,101.22984313964844,227.97216796875
2021-03-24,116.96712493896484,100.79344177246094,225.9379425048828
2021-03-25,117.4541244506836,100.78997802734375,222.94407653808594
2021-03-26,118.05799865722656,100.40664672851562,226.91665649414062
2021-03-29,118.23331451416016,101.45100402832031,225.72682189941406
2021-03-30,116.78206634521484,101.4847183227539,222.4739227294922
2021-03-31,118.97356414794922,102.2806625366211,226.23538208007812
2021-04-01,119.80145263671875,105.6160888671875,232.5492706298828
2021-04-05,122.62604522705078,110.03852844238281,238.9975128173828
2021-04-06,122.9280014038086,109.55751037597656,237.8364715576172
2021-04-07,124.57403564453125,111.03380584716797,239.7939453125
2021-04-08,126.97005462646484,111.59913635253906,243.0084686279297
2021-04-09,129.54139709472656,112.60282897949219,245.50332641601562
2021-04-12,127.82720184326172,111.3110122680664,245.56088256835938
2021-04-13,130.9342041015625,111.79750061035156,248.03656005859375
2021-04-14,128.59664916992188,111.1766128540039,245.2538299560547
2021-04-15,131.00241088867188,113.32585906982422,249.00567626953125
2021-04-16,130.6712646484375,113.20189666748047,250.19557189941406
2021-04-19,131.33355712890625,113.54951477050781,248.27645874023438
2021-04-20,129.64852905273438,113.01641845703125,247.8158416748047
2021-04-21,130.0283966064453,112.98369598388672,250.04205322265625
2021-04-22,128.5089569091797,111.7027816772461,246.7699737548828
2021-04-23,130.8271026611328,114.05384826660156,250.58895874023438
2021-04-26,131.21670532226562,114.54975891113281,250.9728240966797
2021-04-27,130.89527893066406,113.6100082397461,251.3757781982422
2021-04-28,130.10633850097656,116.98513793945312,244.26551818847656
2021-04-29,130.0089111328125,118.65729522705078,242.29840087890625
2021-04-30,128.0414581298828,116.71038818359375,241.9817352294922
2021-05-03,129.09335327148438,116.19366455078125,241.67469787597656
2021-05-04,124.52531433105469,114.3960189819336,237.76927185058594
2021-05-05,124.76883697509766,114.78976440429688,236.50267028808594
2021-05-06,126.36619567871094,115.90951538085938,239.6308135986328
2021-05-07,127.03939819335938,116.63253021240234,242.2504119873047
